Date,Tractor_Model,Demand_Units,Supplier,Supplier_Delay_Days,Component_Failure_Rate,Inventory_Levels,Warehouse_Location,Inflation_Rate,Market_Trend_Index
2020-09-09,TX-500,223,Supplier B,18,0.004,2901,TX,1.59,0.73
2020-09-13,TX-500,175,Supplier D,7,0.0,4016,TX,1.54,0.97
2021-01-17,TX-100,158,Supplier B,10,0.003,1752,NY,2.52,0.07
2021-03-17,TX-400,96,Supplier B,7,0.045,4753,FL,5.97,0.69
2021-08-21,TX-500,263,Supplier E,24,0.056,4876,TX,1.83,0.53
2023-01-18,TX-200,141,Supplier A,16,0.001,2537,FL,5.44,0.64
2021-01-24,TX-100,230,Supplier A,19,0.04,2873,FL,2.22,0.51
2021-08-04,TX-200,458,Supplier B,5,0.004,4932,CA,1.99,0.68
2022-12-03,TX-300,90,Supplier A,6,0.065,4145,NY,5.01,0.91
2021-08-20,TX-100,308,Supplier C,20,0.063,2195,FL,5.31,0.59
2020-01-19,TX-100,170,Supplier B,12,0.078,2758,FL,5.06,0.9
2023-01-29,TX-500,126,Supplier B,6,0.055,2942,FL,2.58,0.78
2021-08-29,TX-300,144,Supplier D,10,0.062,3433,NY,5.46,0.86
2023-10-12,TX-500,318,Supplier C,9,0.028,2400,CA,1.82,0.66
2020-02-02,TX-400,410,Supplier B,7,0.009,1826,FL,3.04,0.52
2023-06-06,TX-200,67,Supplier B,9,0.074,612,IL,3.58,0.07
2022-05-11,TX-200,342,Supplier A,21,0.061,895,CA,1.8,0.83
2020-06-03,TX-500,220,Supplier B,10,0.094,4351,NY,4.11,0.24
2023-12-17,TX-200,211,Supplier B,19,0.099,1726,TX,4.02,0.04
2022-06-23,TX-200,360,Supplier B,16,0.085,3381,FL,5.96,0.52
2023-06-23,TX-400,101,Supplier B,10,0.099,4519,IL,4.3,0.63
2021-02-08,TX-300,85,Supplier D,15,0.065,1164,TX,3.29,0.66
2022-04-23,TX-100,487,Supplier C,4,0.009,461,TX,5.06,0.67
2023-03-30,TX-500,236,Supplier D,9,0.009,2519,FL,3.01,0.65
2022-01-16,TX-500,419,Supplier A,25,0.081,3098,FL,3.9,0.81
2023-02-14,TX-400,297,Supplier E,25,0.024,2782,TX,1.75,0.77
2020-09-27,TX-400,101,Supplier B,19,0.006,3833,IL,2.95,0.81
2022-02-08,TX-100,68,Supplier A,4,0.047,851,CA,3.88,0.46
2020-06-20,TX-300,445,Supplier E,19,0.031,1436,FL,4.66,0.06
2020-09-30,TX-500,141,Supplier B,8,0.059,1401,FL,1.95,0.64
2020-09-15,TX-400,188,Supplier B,2,0.06,4517,NY,5.09,0.21
2023-03-04,TX-500,353,Supplier E,2,0.068,2060,FL,5.55,0.86
2021-02-25,TX-200,406,Supplier D,9,0.058,4750,NY,2.76,0.72
2023-12-15,TX-500,269,Supplier E,6,0.038,3205,TX,4.94,0.77
2023-04-24,TX-300,148,Supplier E,1,0.002,4309,IL,2.31,0.29
2020-12-29,TX-300,285,Supplier C,24,0.091,101,NY,3.86,0.63
2021-01-12,TX-500,256,Supplier B,7,0.033,849,NY,5.09,0.53
2021-08-02,TX-200,193,Supplier B,11,0.051,3179,CA,3.24,0.27
2022-06-09,TX-300,248,Supplier D,29,0.056,2948,TX,1.62,0.81
2021-12-22,TX-400,352,Supplier D,21,0.031,3701,NY,3.93,0.55
2023-05-04,TX-500,372,Supplier C,29,0.031,4768,NY,5.3,0.19
2022-05-30,TX-200,336,Supplier C,28,0.026,4278,TX,1.99,0.31
2023-01-26,TX-400,381,Supplier C,8,0.024,1133,FL,1.63,0.23
2021-08-27,TX-500,313,Supplier D,10,0.003,533,IL,5.14,0.31
2020-01-22,TX-200,266,Supplier E,18,0.096,717,TX,2.7,0.19
2023-04-10,TX-400,238,Supplier B,19,0.06,889,CA,3.14,0.37
2021-01-17,TX-300,93,Supplier B,22,0.011,3722,CA,1.89,0.69
2020-05-13,TX-500,483,Supplier A,16,0.059,3017,IL,1.93,0.96
2023-12-20,TX-500,340,Supplier D,12,0.023,4516,CA,4.27,0.21
2022-11-14,TX-300,238,Supplier D,0,0.031,897,TX,3.99,0.3
2021-05-17,TX-100,488,Supplier C,0,0.08,1878,FL,2.82,0.0
2023-04-23,TX-400,243,Supplier A,27,0.089,3026,CA,3.54,0.23
2023-01-13,TX-300,319,Supplier A,7,0.07,3857,TX,3.25,0.42
2020-05-23,TX-500,415,Supplier D,12,0.093,3340,CA,4.63,0.46
2023-12-06,TX-400,309,Supplier C,5,0.091,751,NY,5.38,0.27
2020-08-11,TX-400,450,Supplier B,2,0.055,1396,NY,4.94,0.15
2020-08-07,TX-100,288,Supplier C,15,0.091,2853,FL,1.52,0.56
2020-06-27,TX-500,161,Supplier B,9,0.054,4564,NY,1.95,0.41
2021-03-08,TX-200,118,Supplier D,6,0.01,571,NY,3.43,0.43
2020-09-21,TX-100,457,Supplier C,21,0.083,4951,CA,5.33,0.89
2022-08-11,TX-100,98,Supplier A,20,0.013,1418,CA,2.57,0.56
2021-03-04,TX-200,360,Supplier E,2,0.032,1083,IL,5.46,0.39
2021-02-19,TX-200,200,Supplier A,13,0.038,4843,FL,2.0,0.25
2021-12-27,TX-100,288,Supplier B,15,0.081,2750,NY,1.83,0.43
2020-07-15,TX-400,386,Supplier D,3,0.008,3709,IL,5.61,0.86
2022-12-12,TX-300,445,Supplier C,28,0.044,1711,CA,2.23,0.97
2021-04-24,TX-300,444,Supplier D,12,0.044,2694,IL,3.59,0.38
2023-09-15,TX-100,164,Supplier D,26,0.058,306,NY,2.97,0.21
2023-06-28,TX-400,124,Supplier B,26,0.035,4984,IL,2.16,0.91
2022-06-08,TX-200,147,Supplier D,0,0.058,3336,TX,4.34,0.14
2022-07-13,TX-100,432,Supplier C,24,0.099,223,FL,5.84,0.3
2020-05-02,TX-500,160,Supplier A,4,0.007,4468,NY,4.46,0.2
2023-11-11,TX-400,406,Supplier D,17,0.087,573,TX,3.09,0.57
2023-09-24,TX-500,419,Supplier C,11,0.031,453,IL,4.7,0.41
2022-02-16,TX-500,334,Supplier C,10,0.047,2244,NY,2.14,0.29
2020-12-13,TX-100,305,Supplier B,8,0.074,636,IL,4.11,0.77
2020-01-29,TX-400,367,Supplier D,27,0.091,1184,FL,3.61,0.66
2022-09-01,TX-500,358,Supplier B,6,0.001,1217,FL,3.12,1.0
2020-02-04,TX-400,166,Supplier A,13,0.066,3127,CA,4.83,0.31
2023-11-20,TX-300,225,Supplier A,29,0.007,1061,TX,2.03,0.85
2021-09-14,TX-500,277,Supplier C,23,0.053,857,FL,3.9,0.3
2023-08-10,TX-500,396,Supplier D,28,0.075,3036,TX,5.34,0.01
2021-08-11,TX-400,155,Supplier C,2,0.017,1888,IL,2.41,0.15
2023-10-04,TX-300,391,Supplier D,15,0.076,1419,TX,2.69,0.51
2023-03-16,TX-500,433,Supplier B,29,0.031,781,NY,4.47,0.81
2022-12-26,TX-100,499,Supplier A,6,0.061,951,CA,4.98,0.06
2022-06-22,TX-400,288,Supplier A,26,0.066,4009,TX,2.78,0.83
2021-06-03,TX-400,149,Supplier B,0,0.065,849,TX,3.12,0.72
2020-05-01,TX-500,225,Supplier E,5,0.002,4365,FL,4.83,0.03
2020-12-05,TX-300,399,Supplier E,25,0.015,962,NY,2.78,0.11
2020-06-23,TX-500,492,Supplier E,5,0.086,2446,FL,4.5,0.08
2021-08-19,TX-200,490,Supplier D,26,0.094,807,TX,2.21,0.68
2021-03-26,TX-500,298,Supplier B,9,0.056,4067,IL,3.35,0.56
2021-07-10,TX-200,125,Supplier D,11,0.06,2815,FL,4.6,0.36
2023-03-05,TX-100,52,Supplier D,21,0.076,1019,FL,3.57,0.09
2022-11-05,TX-400,130,Supplier B,18,0.041,2956,NY,1.59,0.39
2023-09-18,TX-400,410,Supplier D,5,0.033,1440,FL,3.33,0.68
2023-05-03,TX-300,337,Supplier B,13,0.077,1774,FL,2.8,0.09
2020-01-09,TX-500,57,Supplier E,2,0.003,363,CA,1.96,0.86
2020-11-29,TX-100,136,Supplier E,9,0.089,3832,TX,1.54,0.06
2023-09-18,TX-200,335,Supplier D,8,0.044,579,NY,1.7,0.61
2022-10-13,TX-300,448,Supplier A,22,0.05,2953,FL,5.77,0.19
2020-11-22,TX-100,123,Supplier B,29,0.063,1219,TX,4.87,0.09
2020-01-15,TX-100,488,Supplier C,28,0.027,1517,NY,5.73,0.35
2022-04-18,TX-200,172,Supplier C,19,0.06,4719,FL,2.02,0.67
2020-08-13,TX-200,426,Supplier D,18,0.069,3526,IL,4.07,0.12
2023-12-19,TX-400,343,Supplier A,21,0.012,501,CA,1.87,0.48
2023-12-02,TX-500,192,Supplier B,14,0.052,1594,NY,1.62,0.41
2020-04-22,TX-300,207,Supplier E,8,0.033,2799,IL,3.6,0.43
2023-12-22,TX-500,479,Supplier D,18,0.056,3950,NY,4.41,0.94
2020-01-01,TX-300,497,Supplier B,7,0.002,4037,NY,1.79,0.35
2020-09-22,TX-100,459,Supplier B,21,0.074,4728,CA,3.14,0.99
2023-05-16,TX-200,420,Supplier B,3,0.017,3858,IL,1.91,0.54
2022-08-09,TX-200,158,Supplier A,4,0.069,3248,FL,3.13,0.84
2023-10-24,TX-100,383,Supplier B,18,0.077,809,TX,3.62,0.35
2020-11-01,TX-100,244,Supplier A,13,0.075,3526,IL,3.02,0.08
2020-01-12,TX-300,85,Supplier A,17,0.082,2039,NY,4.09,0.08
2023-09-30,TX-100,139,Supplier B,24,0.031,1079,IL,4.13,0.57
2023-10-23,TX-300,464,Supplier E,28,0.097,524,TX,3.0,0.93
2022-07-25,TX-500,345,Supplier B,18,0.002,4279,IL,3.25,0.07
2021-02-23,TX-200,379,Supplier E,5,0.048,891,TX,3.48,0.69
2022-06-07,TX-200,250,Supplier D,4,0.027,4852,CA,3.19,0.56
2020-06-19,TX-200,95,Supplier C,25,0.074,3048,NY,4.92,0.65
2020-05-13,TX-500,156,Supplier D,10,0.081,4252,FL,2.13,0.22
2022-08-22,TX-500,219,Supplier A,23,0.082,1735,IL,5.36,0.07
2023-12-21,TX-400,195,Supplier D,4,0.03,3883,CA,2.99,0.07
2022-11-14,TX-300,405,Supplier C,26,0.027,1068,IL,4.76,0.25
2023-04-28,TX-300,469,Supplier C,7,0.068,4596,CA,5.48,0.21
2023-03-10,TX-400,227,Supplier E,26,0.093,1051,TX,5.49,0.13
2021-10-19,TX-200,110,Supplier D,4,0.025,621,CA,3.54,0.26
2023-08-31,TX-300,473,Supplier A,10,0.091,2074,TX,2.65,0.53
2023-09-04,TX-300,52,Supplier A,25,0.059,1982,CA,4.23,0.95
2023-01-20,TX-200,131,Supplier E,12,0.074,4712,IL,2.33,0.92
2020-06-27,TX-100,312,Supplier E,5,0.044,4644,FL,5.06,0.27
2022-12-15,TX-100,336,Supplier D,4,0.081,3231,NY,4.7,0.07
2023-03-24,TX-400,370,Supplier E,17,0.097,3251,FL,5.08,1.0
2020-04-20,TX-500,144,Supplier C,25,0.017,4195,CA,3.45,0.48
2020-05-16,TX-300,113,Supplier A,9,0.039,2753,TX,4.01,0.98
2020-08-19,TX-300,295,Supplier C,15,0.086,2574,IL,1.96,0.54
2022-09-18,TX-400,126,Supplier B,21,0.018,3724,NY,4.59,0.89
2021-04-12,TX-400,308,Supplier C,13,0.041,621,NY,3.69,0.45
2022-01-01,TX-300,142,Supplier A,22,0.017,4421,IL,3.79,0.62
2021-04-25,TX-200,340,Supplier B,14,0.065,4296,CA,5.31,0.54
2022-12-27,TX-200,320,Supplier D,2,0.024,4751,NY,4.98,0.22
2022-03-24,TX-500,70,Supplier B,2,0.038,322,IL,3.91,0.76
2023-06-26,TX-300,111,Supplier E,11,0.049,1849,CA,3.1,0.05
2022-09-20,TX-300,388,Supplier A,22,0.03,2898,IL,3.51,0.36
2020-11-18,TX-300,461,Supplier E,14,0.068,2575,NY,3.08,0.87
2022-07-10,TX-300,309,Supplier C,10,0.011,3236,FL,2.18,0.5
2022-06-22,TX-400,286,Supplier D,9,0.088,3425,NY,4.41,0.08
2023-12-26,TX-100,190,Supplier A,19,0.048,981,NY,4.61,0.21
2021-08-28,TX-300,484,Supplier D,14,0.057,2441,FL,5.87,0.11
2021-03-04,TX-100,481,Supplier A,17,0.062,320,CA,3.55,0.28
2023-07-16,TX-200,216,Supplier E,24,0.006,2460,IL,5.99,0.17
2020-05-27,TX-500,116,Supplier C,13,0.076,4777,CA,2.34,0.71
2023-02-15,TX-200,399,Supplier B,28,0.095,3748,CA,4.45,0.66
2022-04-29,TX-300,107,Supplier D,24,0.052,351,IL,5.98,0.14
2021-01-01,TX-200,261,Supplier A,5,0.039,1887,CA,4.38,0.44
2022-04-29,TX-400,179,Supplier A,13,0.078,379,TX,3.54,0.3
2022-12-25,TX-100,74,Supplier D,15,0.072,4489,NY,3.82,0.34
2022-03-23,TX-300,60,Supplier B,1,0.065,4374,TX,5.3,0.58
2023-10-25,TX-400,306,Supplier C,18,0.097,2336,IL,5.73,0.9
2020-06-23,TX-100,353,Supplier A,4,0.058,2201,FL,3.54,0.9
2021-08-10,TX-400,418,Supplier A,10,0.025,3749,FL,4.98,0.41
2021-05-09,TX-200,481,Supplier D,10,0.002,1750,IL,5.7,0.39
2022-08-30,TX-300,443,Supplier D,20,0.045,2463,IL,2.77,0.52
2023-02-11,TX-200,130,Supplier A,28,0.065,2330,CA,3.72,0.47
2023-02-08,TX-500,335,Supplier A,24,0.017,3431,NY,5.98,0.06
2023-03-16,TX-300,468,Supplier A,25,0.003,123,TX,3.09,0.58
2020-02-04,TX-200,419,Supplier E,18,0.091,355,IL,4.29,0.58
2022-09-25,TX-300,68,Supplier A,17,0.03,1337,FL,4.46,0.45
2023-08-25,TX-100,159,Supplier C,25,0.047,4042,NY,2.19,0.41
2021-06-21,TX-300,486,Supplier C,7,0.009,3667,NY,5.13,0.94
2022-01-19,TX-300,83,Supplier B,22,0.038,1163,CA,3.36,0.6
2022-11-03,TX-100,337,Supplier D,11,0.042,894,FL,3.75,0.82
2021-01-08,TX-200,381,Supplier B,8,0.09,1586,NY,4.39,0.95
2021-07-10,TX-300,304,Supplier A,2,0.087,2583,FL,3.35,0.81
2023-12-22,TX-400,175,Supplier D,5,0.019,1334,TX,2.96,0.94
2020-08-20,TX-300,258,Supplier A,20,0.056,4085,FL,3.96,0.76
2021-12-05,TX-200,183,Supplier D,20,0.073,2954,NY,3.06,0.17
2021-07-16,TX-100,446,Supplier E,25,0.029,2094,FL,3.45,0.23
2022-07-27,TX-200,135,Supplier E,23,0.039,2433,FL,1.99,0.19
2022-06-05,TX-500,124,Supplier E,0,0.098,2391,FL,5.3,0.32
2021-12-26,TX-300,497,Supplier B,16,0.076,861,NY,3.35,0.35
2023-07-22,TX-300,184,Supplier D,2,0.044,4338,TX,1.87,0.81
2020-03-16,TX-100,350,Supplier B,26,0.053,1884,FL,5.06,0.36
2021-03-14,TX-300,222,Supplier D,17,0.063,419,TX,1.59,0.73
2021-11-29,TX-400,262,Supplier A,17,0.05,4092,NY,4.2,0.9
2023-08-05,TX-400,370,Supplier E,1,0.041,4628,IL,4.66,0.11
2022-07-03,TX-200,399,Supplier E,3,0.036,3750,FL,2.36,0.0
2022-06-09,TX-100,68,Supplier D,0,0.017,4317,TX,2.09,0.89
2021-11-22,TX-500,168,Supplier B,9,0.097,4989,FL,2.01,0.24
2020-09-09,TX-200,352,Supplier B,24,0.009,2879,CA,5.97,0.15
2023-02-23,TX-100,351,Supplier C,29,0.06,4945,CA,4.9,0.3
2023-04-15,TX-100,334,Supplier E,4,0.096,3715,NY,2.91,0.19
2022-11-26,TX-200,276,Supplier E,4,0.037,2096,TX,3.01,0.79
2021-02-13,TX-200,261,Supplier B,8,0.025,1396,TX,4.42,0.63
2020-05-06,TX-300,405,Supplier E,13,0.096,3345,FL,3.56,0.17
2023-04-06,TX-500,238,Supplier B,20,0.08,2385,CA,2.72,0.58
2021-08-14,TX-400,370,Supplier C,12,0.066,209,FL,1.76,0.21
2020-10-20,TX-300,200,Supplier D,12,0.061,511,FL,5.03,0.2
2023-09-28,TX-100,272,Supplier D,26,0.036,170,NY,5.5,0.6
2022-10-16,TX-500,177,Supplier C,29,0.064,3827,IL,2.43,0.66
2020-11-05,TX-500,297,Supplier E,23,0.073,817,NY,1.79,0.35
2021-10-23,TX-200,100,Supplier A,26,0.003,2570,NY,2.03,0.76
2021-06-11,TX-500,240,Supplier E,0,0.012,2388,NY,3.36,0.84
2021-06-23,TX-500,286,Supplier B,16,0.032,3774,FL,2.85,0.92
2021-02-22,TX-100,71,Supplier A,19,0.032,818,FL,1.83,0.63
2021-03-19,TX-300,159,Supplier C,7,0.09,226,FL,3.55,0.22
2021-11-15,TX-500,376,Supplier D,2,0.068,525,FL,2.42,0.75
2022-04-19,TX-200,82,Supplier D,16,0.037,2425,CA,1.8,0.11
2020-08-23,TX-300,176,Supplier E,26,0.081,2641,TX,4.46,0.18
2020-08-01,TX-200,414,Supplier D,11,0.032,2535,CA,4.08,0.83
2020-03-25,TX-500,405,Supplier E,24,0.099,2918,TX,5.22,0.91
2022-03-04,TX-300,93,Supplier B,24,0.078,635,FL,2.86,0.07
2020-03-25,TX-500,56,Supplier B,24,0.081,3633,CA,2.11,0.31
2020-03-05,TX-100,177,Supplier C,24,0.026,2434,TX,3.12,0.63
2021-10-24,TX-300,140,Supplier B,17,0.015,2592,IL,5.0,0.94
2021-09-18,TX-200,179,Supplier E,13,0.039,1244,NY,2.59,0.57
2020-03-04,TX-100,66,Supplier D,29,0.033,1821,TX,2.65,0.82
2023-09-28,TX-400,370,Supplier B,10,0.077,3590,CA,2.16,0.92
2022-07-27,TX-200,235,Supplier B,26,0.017,3970,CA,5.94,0.52
2022-07-07,TX-500,159,Supplier E,15,0.053,1879,IL,5.85,0.74
2023-10-07,TX-200,335,Supplier B,26,0.063,3247,TX,4.46,0.66
2023-03-27,TX-400,397,Supplier D,3,0.039,1005,NY,2.47,0.67
2021-05-05,TX-200,459,Supplier D,17,0.02,2231,CA,4.95,0.52
2023-06-02,TX-100,212,Supplier D,6,0.09,3023,FL,4.13,0.62
2020-11-08,TX-200,496,Supplier D,10,0.014,1947,FL,4.87,0.55
2021-09-06,TX-300,124,Supplier A,15,0.03,406,TX,5.37,0.64
2022-07-07,TX-400,248,Supplier D,15,0.076,3616,IL,2.93,0.51
2022-03-23,TX-200,461,Supplier A,2,0.061,3830,NY,5.61,0.22
2022-07-28,TX-400,458,Supplier D,24,0.073,4532,TX,5.54,0.69
2023-01-16,TX-100,494,Supplier D,22,0.081,616,TX,3.96,0.38
2023-08-19,TX-300,410,Supplier E,23,0.09,200,NY,4.58,0.13
2021-11-10,TX-500,336,Supplier D,8,0.03,2247,CA,3.35,0.85
2021-03-10,TX-200,231,Supplier B,7,0.047,2320,FL,4.45,0.18
2021-11-12,TX-100,146,Supplier D,6,0.069,2929,CA,3.97,0.54
2023-03-04,TX-400,100,Supplier C,24,0.079,2008,IL,2.95,0.72
2022-12-09,TX-400,363,Supplier E,26,0.058,127,NY,2.95,0.65
2023-12-26,TX-100,83,Supplier E,16,0.051,4952,CA,4.43,0.16
2020-12-05,TX-200,492,Supplier D,10,0.069,3436,TX,5.8,0.19
2020-12-12,TX-500,70,Supplier C,3,0.038,2462,TX,2.41,0.15
2021-10-07,TX-200,233,Supplier D,3,0.089,4233,IL,3.27,0.07
2023-10-02,TX-300,342,Supplier B,4,0.021,3776,IL,5.13,0.28
2021-10-10,TX-200,113,Supplier E,7,0.088,3324,NY,2.05,0.52
2020-09-01,TX-300,452,Supplier E,9,0.064,2475,CA,5.97,0.17
2020-04-18,TX-400,173,Supplier C,16,0.06,147,TX,4.55,0.97
2021-06-16,TX-300,150,Supplier A,5,0.047,3813,NY,5.6,0.7
2023-01-18,TX-500,168,Supplier C,8,0.015,105,NY,5.27,0.58
2020-10-22,TX-100,390,Supplier B,9,0.086,869,TX,5.0,0.68
2020-04-21,TX-300,127,Supplier C,7,0.005,1462,CA,1.65,0.44
2023-04-15,TX-200,230,Supplier A,14,0.027,3440,FL,3.33,0.47
2020-12-08,TX-300,248,Supplier B,17,0.011,916,IL,2.41,0.89
2020-04-10,TX-400,496,Supplier B,22,0.011,3928,CA,5.42,0.72
2021-09-20,TX-300,409,Supplier A,4,0.039,107,FL,4.56,0.59
2023-11-25,TX-500,239,Supplier D,17,0.016,4972,FL,1.98,0.95
2020-01-28,TX-300,377,Supplier C,26,0.058,4858,TX,3.12,0.66
2022-07-25,TX-500,152,Supplier B,0,0.063,2632,FL,1.81,0.4
2020-02-27,TX-200,382,Supplier C,1,0.088,2859,IL,4.83,0.05
2020-10-23,TX-400,415,Supplier A,26,0.03,428,NY,3.38,0.39
2020-05-13,TX-100,324,Supplier E,9,0.031,4595,CA,2.55,0.92
2023-09-16,TX-200,179,Supplier A,5,0.025,4975,IL,3.83,0.04
2020-09-05,TX-200,290,Supplier C,26,0.078,2012,FL,1.69,0.18
2022-10-17,TX-100,183,Supplier B,27,0.043,2485,NY,2.66,0.81
2021-07-03,TX-300,206,Supplier C,23,0.055,4080,NY,2.29,0.36
2022-06-20,TX-300,474,Supplier E,18,0.037,2566,FL,5.69,0.19
2023-01-03,TX-300,484,Supplier B,20,0.016,3137,IL,3.2,0.82
2022-04-13,TX-400,438,Supplier E,10,0.01,1294,FL,4.13,0.56
2023-04-06,TX-200,474,Supplier D,17,0.087,200,CA,3.76,0.55
2022-02-09,TX-500,367,Supplier A,27,0.027,2561,NY,4.47,0.29
2023-10-10,TX-100,207,Supplier D,15,0.094,422,TX,2.76,0.68
2023-06-02,TX-200,408,Supplier C,7,0.095,4224,NY,2.04,0.86
2020-05-25,TX-300,239,Supplier D,3,0.048,3749,FL,1.87,0.75
2023-06-18,TX-100,149,Supplier A,10,0.096,4946,FL,2.37,0.61
2022-06-11,TX-500,460,Supplier B,9,0.003,3176,TX,3.67,0.35
2020-12-09,TX-200,483,Supplier E,15,0.009,706,TX,2.56,0.85
2022-11-24,TX-200,101,Supplier B,11,0.024,616,NY,3.45,0.57
2021-12-02,TX-400,98,Supplier D,21,0.021,1208,FL,1.63,0.89
2020-01-01,TX-200,495,Supplier C,2,0.025,4435,NY,4.32,0.25
2020-06-01,TX-200,149,Supplier D,10,0.045,938,IL,5.45,0.65
2021-03-04,TX-500,493,Supplier A,23,0.006,1221,FL,1.71,0.94
2021-05-22,TX-500,431,Supplier A,15,0.056,4065,NY,2.48,0.37
2023-02-23,TX-100,300,Supplier C,23,0.031,3441,FL,2.93,0.95
2021-05-05,TX-300,423,Supplier B,2,0.007,1436,FL,2.79,0.39
2020-12-10,TX-500,103,Supplier A,27,0.075,1359,CA,1.68,0.44
2020-08-08,TX-100,424,Supplier A,24,0.065,3380,NY,1.98,0.81
2021-12-23,TX-200,438,Supplier C,9,0.079,1961,FL,5.61,0.26
2022-11-14,TX-100,186,Supplier B,28,0.094,744,TX,4.7,0.71
2021-06-11,TX-100,211,Supplier D,20,0.059,2328,TX,5.81,0.3
2023-04-20,TX-100,403,Supplier E,15,0.079,696,CA,3.48,0.59
2022-04-20,TX-100,341,Supplier C,25,0.02,2910,FL,5.46,0.78
2022-12-01,TX-500,453,Supplier B,24,0.041,4636,NY,5.17,0.03
2021-04-25,TX-300,130,Supplier E,6,0.053,567,NY,5.44,0.09
2022-07-18,TX-100,269,Supplier C,14,0.054,1064,TX,1.68,0.93
2022-05-21,TX-400,134,Supplier D,14,0.072,1737,IL,4.44,0.82
2023-11-26,TX-200,132,Supplier D,9,0.08,2886,FL,4.05,0.88
2020-12-10,TX-200,368,Supplier B,2,0.067,2913,CA,3.95,0.44
2020-02-14,TX-200,116,Supplier B,5,0.005,326,CA,3.77,0.72
2020-01-21,TX-200,463,Supplier D,25,0.035,2908,FL,5.08,1.0
2022-12-29,TX-200,283,Supplier D,17,0.057,1404,FL,5.86,0.43
2022-05-22,TX-100,247,Supplier C,21,0.051,613,CA,5.23,0.85
2020-02-17,TX-300,308,Supplier B,27,0.004,311,CA,5.42,0.08
2021-07-04,TX-400,226,Supplier E,4,0.098,869,NY,3.68,0.54
2020-10-13,TX-500,347,Supplier D,15,0.096,3411,CA,4.61,0.33
2022-09-28,TX-400,329,Supplier E,12,0.077,530,TX,3.37,0.52
2022-10-30,TX-500,349,Supplier B,2,0.006,3358,CA,3.12,0.11
2021-06-25,TX-500,178,Supplier B,29,0.043,359,CA,5.53,0.37
2022-01-25,TX-400,420,Supplier A,14,0.041,1854,TX,5.57,0.08
2020-09-30,TX-100,487,Supplier D,22,0.056,2497,TX,4.57,0.45
2022-08-13,TX-200,229,Supplier B,26,0.006,4902,FL,5.27,0.44
2021-08-22,TX-100,341,Supplier B,19,0.042,145,CA,3.12,0.33
2021-01-15,TX-200,256,Supplier D,26,0.076,976,TX,3.45,0.95
2023-09-14,TX-300,343,Supplier A,29,0.1,3017,NY,5.19,0.08
2021-04-23,TX-500,477,Supplier A,5,0.06,2055,IL,3.29,0.82
2020-01-15,TX-400,387,Supplier A,24,0.094,1700,TX,1.68,0.35
2021-05-30,TX-300,224,Supplier A,27,0.1,2374,IL,3.09,0.2
2020-07-09,TX-200,78,Supplier C,29,0.043,1839,CA,3.29,0.27
2023-04-06,TX-100,228,Supplier D,21,0.067,3290,NY,2.2,0.9
2021-09-12,TX-400,90,Supplier D,3,0.021,433,NY,3.05,0.82
2023-03-06,TX-500,241,Supplier D,14,0.048,1630,FL,5.7,0.02
2020-06-02,TX-300,393,Supplier A,25,0.008,655,FL,5.36,0.15
2023-11-12,TX-500,286,Supplier A,17,0.003,2148,CA,3.51,0.68
2023-05-17,TX-200,353,Supplier B,8,0.089,830,TX,4.69,0.32
2020-09-28,TX-500,274,Supplier C,29,0.086,4923,NY,2.18,0.92
2020-05-22,TX-100,163,Supplier D,19,0.031,4133,CA,4.89,0.79
2022-12-28,TX-300,327,Supplier C,3,0.046,1263,CA,3.64,0.88
2020-09-03,TX-300,404,Supplier D,15,0.049,1399,TX,4.75,0.19
2023-07-08,TX-100,66,Supplier A,17,0.052,4562,NY,4.4,0.15
2022-02-26,TX-500,135,Supplier A,4,0.013,4819,NY,2.55,0.93
2020-03-19,TX-100,438,Supplier D,12,0.078,2120,NY,5.26,0.4
2021-09-14,TX-400,366,Supplier E,5,0.035,3786,FL,4.07,0.42
2021-06-08,TX-100,394,Supplier A,25,0.003,2040,NY,5.03,0.68
2022-02-10,TX-500,439,Supplier B,21,0.068,4496,IL,1.92,0.4
2022-07-26,TX-100,230,Supplier A,18,0.083,3171,TX,4.27,0.88
2023-09-15,TX-200,386,Supplier B,11,0.092,3599,NY,2.81,0.96
2023-04-27,TX-100,400,Supplier C,14,0.067,1310,TX,5.37,0.33
2023-01-23,TX-100,194,Supplier A,29,0.019,4353,TX,5.77,0.21
2021-09-08,TX-500,364,Supplier A,8,0.059,1454,IL,1.75,0.08
2022-10-28,TX-400,274,Supplier C,6,0.091,3428,NY,4.76,0.21
2020-03-07,TX-400,472,Supplier B,28,0.035,2230,TX,1.96,0.14
2020-07-09,TX-500,103,Supplier E,13,0.095,4209,NY,5.36,0.03
2023-10-21,TX-500,431,Supplier B,18,0.01,3367,IL,2.06,0.05
2022-02-06,TX-500,481,Supplier D,19,0.073,1335,FL,2.38,0.51
2021-06-04,TX-200,470,Supplier D,15,0.012,4303,FL,2.63,0.71
2022-09-16,TX-300,353,Supplier D,22,0.08,4826,FL,4.78,0.98
2023-02-14,TX-100,117,Supplier C,26,0.01,2878,FL,2.82,0.16
2020-09-23,TX-500,156,Supplier B,23,0.033,4360,CA,4.18,0.7
2021-04-29,TX-500,383,Supplier A,21,0.078,3008,TX,4.07,0.55
2023-08-14,TX-500,126,Supplier D,3,0.046,4542,CA,3.31,0.48
